Term                           TF                            
полный                         0.002                         
содержание                     0.0013                        
космический                    0.0035                        
течение                        0.0017                        
азимов                         0.0013                        
войти                          0.0013                        
логин                          0.0004                        
пароль                         0.0009                        
запомнить                      0.0004                        
забыть                         0.0009                        
регистрация                    0.0004                        
поиск                          0.0017                        
расширить                      0.0004                        
сочинение                      0.0009                        
краткий                        0.0009                        
произведение                   0.0017                        
характеристика                 0.0004                        
биография                      0.0009                        
критика                        0.0004                        
гдз                            0.0004                        
добавить                       0.0004                        
присылать                      0.0004                        
работа                         0.0031                        
получать                       0.0013                        
litr                           0.0004                        
ы                              0.0004                        
обменивать                     0.0004                        
майка                          0.0004                        
тетрадь                        0.0004                        
ручка                          0.0004                        
скачать                        0.0004                        
говорить                       0.0031                        
нужный                         0.0013                        
молчать                        0.0013                        
относиться                     0.0004                        
рик                            0.0096                        
начать                         0.0031                        
жалобно                        0.0004                        
шептать                        0.0009                        
пауза                          0.0004                        
голос                          0.0031                        
произнести                     0.0031                        
подойти                        0.0004                        
стол                           0.0013                        
смочь                          0.0017                        
получить                       0.0061                        
книга                          0.0026                        
оставить                       0.0013                        
заполнить                      0.0004                        
формуляр                       0.0004                        
теренс                         0.014                         
протянуть                      0.0013                        
рука                           0.0035                        
пойти                          0.0013                        
нарушить                       0.0004                        
правило                        0.0004                        
пробормотать                   0.0004                        
чепуха                         0.0004                        
уходить                        0.0022                        
спешить                        0.0017                        
увлекать                       0.0004                        
выйти                          0.0017                        
главный                        0.0004                        
холл                           0.0009                        
библиотекарша                  0.0009                        
взглянуть                      0.0035                        
подождать                      0.0022                        
крикнуть                       0.0009                        
вскочить                       0.0004                        
держаться                      0.0009                        
один                           0.0039                        
минута                         0.0017                        
останавливаться                0.0004                        
очутиться                      0.0004                        
патрульный                     0.0101                        
здорово                        0.0009                        
парень                         0.0017                        
подбежать                      0.0004                        
слегка                         0.0017                        
задыхаться                     0.0004                        
комната                        0.0013                        
двести                         0.0004                        
сорок                          0.0004                        
верно                          0.0009                        
послушать                      0.0009                        
твёрдо                         0.0004                        
задерживать                    0.0009                        
запрашивать                    0.0004                        
некоторый                      0.0013                        
мочь                           0.007                         
достать                        0.0004                        
поздно                         0.0009                        
понять                         0.0009                        
вернуться                      0.0035                        
завтра                         0.0004                        
библиотека                     0.0035                        
стремиться                     0.0004                        
удовлетворить                  0.0004                        
читатель                       0.0004                        
чопорно                        0.0004                        
женщина                        0.0017                        
скула                          0.0009                        
вспыхнуть                      0.0009                        
яркий                          0.0004                        
красный                        0.0004                        
пятно                          0.0004                        
повернуться                    0.0004                        
броситься                      0.0004                        
маленький                      0.0009                        
дверь                          0.0026                        
открыться                      0.0009                        
приближение                    0.0004                        
офицер                         0.0009                        
возражать                      0.0004                        
прервать                       0.0004                        
показать                       0.0009                        
короткий                       0.0004                        
нейронный                      0.0009                        
хлыст                          0.0013                        
прекрасный                     0.0004                        
оружие                         0.0004                        
дальний                        0.0004                        
действие                       0.0009                        
дама                           0.0004                        
вежливый                       0.0004                        
лоб                            0.0004                        
покрыться                      0.0004                        
образ                          0.0009                        
недооценить                    0.0004                        
положение                      0.0009                        
уверенный                      0.0013                        
свой                           0.0031                        
анализ                         0.0017                        
событие                        0.0004                        
привести                       0.0004                        
такой                          0.0031                        
настойчивый                    0.0004                        
виновато                       0.0004                        
проклятый                      0.0009                        
любопытство                    0.0004                        
желание                        0.0004                        
верхний                        0.0044                        
город                          0.0066                        
пройти                         0.0026                        
коридор                        0.0009                        
словно                         0.0031                        
саркит                         0.0052                        
безумный                       0.0004                        
мгновение                      0.0017                        
захотеться                     0.0009                        
прыгнуть                       0.0004                        
неожиданно                     0.0004                        
понадобиться                   0.0009                        
промелькнуть                   0.0004                        
обернуться                     0.0004                        
опоздать                       0.0004                        
оказаться                      0.0017                        
вырвать                        0.0004                        
успеть                         0.0009                        
хрипло                         0.0004                        
вскрикнуть                     0.0009                        
прикоснуться                   0.0004                        
висок                          0.0004                        
радость                        0.0004                        
воскликнуть                    0.0004                        
валон                          0.007                         
клясться                       0.0004                        
демон                          0.0009                        
сарка                          0.0092                        
мятежник                       0.0004                        
прийти                         0.0026                        
тотчас                         0.0004                        
скорый                         0.0017                        
живо                           0.0004                        
прочь                          0.0004                        
оттащить                       0.0004                        
бесчувственный                 0.0004                        
тело                           0.0004                        
тень                           0.0009                        
колонна                        0.0004                        
главное                        0.0004                        
явно                           0.0004                        
лестница                       0.0004                        
послеполуденный                0.0004                        
солнце                         0.0009                        
разливать                      0.0004                        
окружающий                     0.0004                        
мир                            0.0009                        
теплота                        0.0004                        
свет                           0.0031                        
краска                         0.0004                        
сдвинуться                     0.0009                        
оранжевый                      0.0004                        
тон                            0.0004                        
идти                           0.0013                        
скорее                         0.0009                        
тревожный                      0.0004                        
удержать                       0.0004                        
локоть                         0.0009                        
улыбаться                      0.0009                        
низкий                         0.0009                        
твёрдый                        0.0004                        
бежать                         0.0022                        
следовать                      0.0004                        
держать                        0.0009                        
давать                         0.0004                        
шаг                            0.0004                        
двигаться                      0.0004                        
сквозь                         0.0017                        
клей                           0.0004                        
шум                            0.0009                        
сметь                          0.0004                        
оглянуться                     0.0004                        
