Term                           TF-IDF                        
шварц                          0.0118                        
мысленный                      0.0099                        
наттереть                      0.0069                        
преследователь                 0.0061                        
авардан                        0.006                         
чик                            0.0054                        
шоссе                          0.0033                        
гро                            0.0032                        
шект                           0.0031                        
наттер                         0.0027                        
сигнал                         0.0024                        
убить                          0.0021                        
арбина                         0.002                         
ферма                          0.0019                        
секретарь                      0.0019                        
амнезия                        0.0018                        
распознание                    0.0018                        
проговорить                    0.0018                        
больница                       0.0018                        
аскетизм                       0.0018                        
мантия                         0.0018                        
зона                           0.0018                        
шестьдесят                     0.0017                        
теория                         0.0017                        
чужак                          0.0017                        
превосходительство             0.0017                        
светлость                      0.0016                        
смерть                         0.0015                        
археолог                       0.0015                        
радиоактивный                  0.0015                        
застылый                       0.0015                        
противник                      0.0015                        
собрание                       0.0015                        
балкис                         0.0015                        
землянка                       0.0015                        
мергера                        0.0015                        
основываться                   0.0015                        
замысел                        0.0015                        
шахматы                        0.0014                        
темнота                        0.0014                        
эй                             0.0014                        
вашен                          0.0014                        
высокопоставленный             0.0014                        
телевизор                      0.0014                        
невозмутимо                    0.0014                        
терпеливый                     0.0014                        
империя                        0.0014                        
археология                     0.0014                        
расселение                     0.0014                        
народ                          0.0014                        
пешком                         0.0013                        
подозрение                     0.0013                        
ветер                          0.0012                        
здание                         0.0012                        
шектом                         0.0012                        
смешаться                      0.0012                        
обладать                       0.0011                        
достигнуть                     0.0011                        
осторожный                     0.0011                        
невидимый                      0.0011                        
интенсивность                  0.0011                        
ненависть                      0.0011                        
сыграть                        0.0011                        
запретный                      0.0011                        
определённый                   0.0011                        
концепция                      0.0011                        
арбином                        0.001                         
эквивалент                     0.001                         
враждебность                   0.001                         
настороженный                  0.001                         
гнусавый                       0.001                         
материализация                 0.001                         
мужчина                        0.001                         
деланно                        0.001                         
остроумный                     0.001                         
общительный                    0.001                         
замахать                       0.001                         
источать                       0.001                         
навязчивость                   0.001                         
ударять                        0.001                         
изумлять                       0.001                         
пережёвывание                  0.001                         
словосочетание                 0.001                         
внутрь                         0.001                         
привязь                        0.001                         
белокаменный                   0.001                         
фасад                          0.001                         
текстильный                    0.001                         
классификационный              0.001                         
незаинтересованность           0.001                         
квалификация                   0.001                         
текстиль                       0.001                         
термопластик                   0.001                         
эластомерик                    0.001                         
плеть                          0.001                         
паучий                         0.001                         
степенность                    0.001                         
величественно                  0.001                         
переглядывание                 0.001                         
обходить                       0.001                         
подробность                    0.001                         
напарник                       0.001                         
обочина                        0.001                         
вскрытие                       0.001                         
инфаркт                        0.001                         
соотнести                      0.001                         
профессор                      0.001                         
фиктивный                      0.001                         
гранит                         0.001                         
примитивность                  0.001                         
двухмесячный                   0.001                         
неглупо                        0.001                         
несходство                     0.001                         
межвидовой                     0.001                         
схожесть                       0.001                         
близкие                        0.001                         
подвид                         0.001                         
архитектурный                  0.001                         
обострение                     0.001                         
смирение                       0.001                         
табу                           0.001                         
искушать                       0.001                         
президиум                      0.001                         
повестка                       0.001                         
сопроводительный               0.001                         
нейрохимия                     0.001                         
разбиение                      0.001                         
энцефалогический               0.001                         
благосклонный                  0.001                         
светящийся                     0.0009                        
спасение                       0.0009                        
доктор                         0.0009                        
почувствовать                  0.0009                        
оружие                         0.0009                        
излучать                       0.0009                        
квадратный                     0.0009                        
магазин                        0.0009                        
любезность                     0.0009                        
обращать                       0.0009                        
проникнуть                     0.0009                        
враждебный                     0.0009                        
синапсайфер                    0.0009                        
дикий                          0.0009                        
доказать                       0.0009                        
совет                          0.0009                        
стол                           0.0008                        
браунинг                       0.0008                        
впереди                        0.0008                        
описать                        0.0008                        
ло                             0.0008                        
стоп                           0.0008                        
возможно                       0.0008                        
подопытный                     0.0008                        
историк                        0.0008                        
небритый                       0.0008                        
помнить                        0.0008                        
бриться                        0.0008                        
ориентироваться                0.0008                        
окружающие                     0.0008                        
побег                          0.0008                        
посередине                     0.0008                        
министерский                   0.0008                        
содержать                      0.0008                        
скрыться                       0.0008                        
подозрительный                 0.0008                        
миг                            0.0008                        
усиление                       0.0008                        
убежать                        0.0008                        
подсознание                    0.0008                        
подсчёт                        0.0008                        
декабрь                        0.0008                        
различимый                     0.0008                        
воспоминание                   0.0008                        
расступиться                   0.0008                        
засомневаться                  0.0008                        
напряжённость                  0.0008                        
машина                         0.0008                        
неубедительно                  0.0008                        
заказать                       0.0008                        
такси                          0.0008                        
притворство                    0.0008                        
бедро                          0.0008                        
дик                            0.0008                        
стоящий                        0.0008                        
эмоция                         0.0008                        
сконцентрироваться             0.0008                        
освободиться                   0.0008                        
невыносимый                    0.0008                        
боль                           0.0008                        
осесть                         0.0008                        
повалиться                     0.0008                        
нагнуться                      0.0008                        
отлично                        0.0008                        
появляться                     0.0008                        
отчётливый                     0.0008                        
взрывной                       0.0008                        
трепещущий                     0.0008                        
панорама                       0.0008                        
устраиваться                   0.0008                        
регистрационный                0.0008                        
выскакивать                    0.0008                        
атаковать                      0.0008                        
выбежать                       0.0008                        
парк                           0.0008                        
неподдельный                   0.0008                        
группа                         0.0008                        
забарабанить                   0.0008                        
нажатие                        0.0008                        
церемония                      0.0008                        
подопечный                     0.0008                        
занятость                      0.0008                        
закашляться                    0.0008                        
сеанс                          0.0008                        
насилие                        0.0008                        
чикой                          0.0008                        
розыск                         0.0008                        
версия                         0.0008                        
близиться                      0.0008                        
воздать                        0.0008                        
