Term                           IDF                           
полный                         0.0                           
содержание                     0.0                           
произведение                   0.0                           
аверченко                      0.7959                        
войти                          0.0                           
логин                          0.0                           
пароль                         0.0                           
запомнить                      0.0                           
забыть                         0.0                           
регистрация                    0.0                           
поиск                          0.0                           
расширить                      0.0                           
сочинение                      0.0                           
краткий                        0.0                           
характеристика                 0.0                           
биография                      0.0                           
критика                        0.0                           
гдз                            0.0                           
добавить                       0.0                           
присылать                      0.0                           
работа                         0.0                           
получать                       0.0                           
litr                           0.0                           
ы                              0.0                           
обменивать                     0.0                           
майка                          0.0                           
тетрадь                        0.0                           
ручка                          0.0                           
автобиография                  2.0                           
альбом                         2.0                           
американец                     1.301                         
античный                       1.699                         
раскопка                       1.5229                        
аполлон                        1.699                         
аргонавт                       2.0                           
золотой                        0.8861                        
руно                           1.5229                        
аристократ                     1.699                         
сысой                          2.0                           
закорюкин                      2.0                           
почва                          0.7212                        
белый                          0.2291                        
ворона                         1.699                         
бельмес                        2.0                           
берег                          0.9586                        
воспитатель                    2.0                           
кись                           2.0                           
берлинский                     2.0                           
курица                         2.0                           
яйцо                           1.5229                        
блин                           2.0                           
додить                         2.0                           
борец                          2.0                           
бриллиант                      2.0                           
карат                          2.0                           
бритва                         1.699                         
кисель                         2.0                           
былой                          1.1549                        
быт                            1.699                         
ожидание                       0.585                         
ужин                           1.0458                        
ресторан                       1.699                         
великий                        0.5376                        
французский                    1.3979                        
революция                      1.699                         
венеция                        1.699                         
весёлый                        0.699                         
вечер                          0.5528                        
вечером                        0.5686                        
вино                           0.585                         
витязь                         2.0                           
волчий                         2.0                           
шуба                           2.0                           
встреча                        0.3565                        
власть                         0.4202                        
галочка                        2.0                           
гордий                         2.0                           
узел                           1.5229                        
преступление                   0.7447                        
господин                       0.585                         
вопягин                        2.0                           
двойник                        1.5229                        
ребёнок                        0.301                         
дружба                         0.8239                        
жена                           0.4202                        
здание                         0.6778                        
песок                          1.1549                        
знаток                         1.5229                        
женский                        0.7696                        
сердце                         0.2676                        
век                            0.5376                        
изумительный                   1.5229                        
случай                         0.0969                        
история                        0.3188                        
болезнь                        0.5086                        
иванов                         0.6198                        
ихневмон                       2.0                           
камень                         0.6383                        
шея                            0.8861                        
коса                           1.5229                        
крах                           1.699                         
семья                          0.5686                        
дромадеров                     2.0                           
крыса                          1.301                         
поднос                         1.5229                        
курильщик                      2.0                           
опиум                          2.0                           
лакмусовый                     2.0                           
бумажка                        1.2218                        
ложь                           0.7212                        
четыре                         0.7696                        
измерение                      1.0458                        
магнит                         2.0                           
март                           2.0                           
абрамович                      2.0                           
мозаика                        1.5229                        
мопассан                       0.7959                        
выставка                       2.0                           
сто                            0.5086                        
неизлечимый                    1.5229                        
ниночка                        2.0                           
обыкновенный                   0.6198                        
женщина                        0.2518                        
одесса                         2.0                           
одинокий                       0.7959                        
октябрист                      2.0                           
чикалкина                      2.0                           
опора                          1.699                         
порядок                        0.3565                        
осколок                        1.3979                        
разбитый                       1.3979                        
вдребезги                      2.0                           
петерс                         2.0                           
петух                          1.699                         
подходец                       2.0                           
двое                           0.6021                        
полевой                        0.7696                        
поэма                          1.699                         
